,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
255,Portland,US,45.52,-122.68,39.99,93,90,0.29,mist
256,Hamina,FI,60.57,27.2,33.01,87,90,4.7,overcast clouds
257,Ishigaki,JP,24.34,124.16,69.78,76,21,25.79,few clouds
258,Ajdabiya,LY,30.76,20.23,64.47,51,0,12.21,clear sky
259,Belaya Gora,RU,68.53,146.42,-12.03,90,100,3.53,overcast clouds
260,Coral Springs,US,26.27,-80.27,81.0,61,40,3.36,scattered clouds
261,Jhalida,IN,23.37,85.97,62.6,63,0,4.83,haze
262,Natchitoches,US,31.77,-93.13,53.6,87,40,8.05,scattered clouds
263,Ambulu,ID,-8.35,113.61,76.55,87,100,2.86,light rain
264,Neath,GB,51.66,-3.8,55.0,87,100,3.36,overcast clouds
265,Yarada,IN,17.65,83.27,77.0,73,90,8.05,haze
266,Klyuchi,RU,52.27,79.17,22.39,96,100,11.25,light snow
267,Atkinson,US,42.84,-71.15,50.0,70,90,5.82,overcast clouds
268,Sibolga,ID,1.74,98.78,77.45,80,100,2.91,moderate rain
269,Khatanga,RU,71.97,102.5,11.86,96,100,18.12,light snow
270,Pangai,TO,-19.8,-174.35,77.0,88,100,22.19,moderate rain
271,Bathsheba,BB,13.22,-59.52,86.0,74,20,14.99,few clouds
272,Karratha,AU,-20.74,116.85,78.94,72,0,8.99,clear sky
273,Kungurtug,RU,50.6,97.52,0.18,86,47,0.94,scattered clouds
274,Sabha,LY,27.04,14.43,68.07,25,19,10.49,few clouds
275,Chabahar,IR,25.29,60.64,73.71,56,0,8.21,clear sky
276,Tarakan,ID,3.3,117.63,81.18,78,81,0.65,broken clouds
277,Balabac,PH,7.99,117.06,79.21,84,100,5.64,overcast clouds
278,Gayeri,BF,12.65,0.49,92.84,22,0,6.76,clear sky
279,Grand-Santi,GF,4.25,-54.38,95.47,40,11,4.83,few clouds
280,Mweka,CD,-4.85,21.57,68.22,98,91,0.54,overcast clouds
281,Axim,GH,4.87,-2.24,81.48,77,85,7.92,overcast clouds
282,Terrace,CA,54.52,-128.6,32.0,94,90,1.43,light snow
283,Methoni,GR,36.82,21.7,61.0,82,40,8.05,scattered clouds
284,Krasnyy Yar,RU,46.53,48.35,41.0,80,75,15.66,broken clouds
285,Amos,CA,48.57,-78.12,32.0,92,75,8.05,light snow
286,Codrington,AU,-38.27,141.97,55.0,91,100,18.21,light rain
287,Lahaina,US,20.88,-156.68,71.6,78,75,6.93,broken clouds
288,Kloulklubed,PW,7.04,134.26,78.8,83,75,11.99,broken clouds
289,Namatanai,PG,-3.67,152.43,79.5,80,93,5.99,overcast clouds
290,Umm Lajj,SA,25.02,37.27,74.25,59,0,13.53,clear sky
291,San Jose,US,37.34,-121.89,39.2,64,1,1.54,clear sky
292,Vilcun,CL,-38.65,-72.23,62.6,67,90,5.82,moderate rain
293,Norman Wells,CA,65.28,-126.83,-18.4,82,40,2.24,scattered clouds
294,Merke,KZ,42.87,73.18,27.18,94,100,4.18,light snow
295,Sao Pedro Do Sul,BR,-29.62,-54.18,71.6,94,75,10.29,light rain
296,Maues,BR,-3.38,-57.72,95.02,44,55,4.43,broken clouds
297,Broome,US,42.25,-75.83,42.01,86,90,11.41,mist
298,Awbari,LY,26.59,12.78,68.47,25,3,7.74,clear sky
299,San Rafael,AR,-34.62,-68.33,83.79,22,0,10.54,clear sky
300,Sorland,NO,67.67,12.69,44.85,86,100,27.92,moderate rain
301,Banjar,ID,-8.19,114.97,80.6,88,40,5.82,light rain
302,Ruteng,ID,-8.61,120.47,65.35,100,100,0.92,overcast clouds
303,Najran,SA,17.49,44.13,77.0,33,40,4.7,scattered clouds
304,Anadyr,RU,64.75,177.48,6.8,84,0,2.24,clear sky
305,Sao Gabriel Da Cachoeira,BR,-0.13,-67.09,89.31,63,88,2.86,overcast clouds
306,Bembereke,BJ,10.23,2.66,85.91,41,73,4.12,broken clouds
307,Bowen,AU,-20.02,148.23,73.4,73,75,4.7,broken clouds
308,Alpatovo,RU,43.7,45.24,30.2,86,0,2.24,clear sky
309,Tahe,CN,52.33,124.73,6.87,86,46,8.08,scattered clouds
310,Jefferson City,US,38.58,-92.17,46.0,75,1,5.5,clear sky
311,Haines Junction,CA,60.75,-137.51,26.6,63,91,4.7,overcast clouds
312,Sungurlu,TR,40.17,34.37,40.05,64,0,1.52,clear sky
313,Shenjiamen,CN,29.96,122.3,54.1,69,100,13.78,overcast clouds
314,Morondava,MG,-20.28,44.28,81.99,74,3,13.13,clear sky
315,Borogontsy,RU,62.67,131.17,-21.62,87,0,2.06,clear sky
316,Clyde River,CA,70.47,-68.59,-5.8,83,75,16.11,light snow
317,Mardin,TR,37.31,40.74,53.6,66,20,6.93,few clouds
318,Coquimbo,CL,-29.95,-71.34,62.6,72,20,14.99,few clouds
319,Jaumave,MX,23.42,-99.38,79.0,61,5,13.87,haze
320,Taoudenni,ML,22.68,-3.98,71.15,22,27,2.17,scattered clouds
321,Aykhal,RU,66.0,111.5,5.0,84,0,2.24,clear sky
322,Madera,US,37.17,-119.83,51.01,74,1,3.36,clear sky
323,Necochea,AR,-38.55,-58.74,72.0,67,77,6.58,light rain
324,Invermere,CA,50.52,-116.04,32.0,90,63,1.12,broken clouds
325,Evensk,RU,61.95,159.23,6.89,86,34,12.37,scattered clouds
326,Progreso,MX,21.28,-89.67,84.0,61,20,9.17,few clouds
327,Muravlenko,RU,63.79,74.52,-1.86,93,0,5.17,clear sky
328,Lokoja,NG,7.8,6.74,89.62,32,3,3.78,clear sky
329,Amalapuram,IN,16.58,82.02,75.2,69,75,6.93,haze
330,Katsuura,JP,35.13,140.3,51.01,43,75,14.99,broken clouds
331,Grindavik,IS,63.84,-22.43,33.8,72,90,11.41,overcast clouds
332,Hervey Bay,AU,-25.3,152.85,73.99,70,0,1.01,clear sky
333,Faanui,PF,-16.48,-151.75,80.49,77,2,5.7,clear sky
334,Pochutla,MX,15.74,-96.47,86.0,66,40,4.56,scattered clouds
335,Sao Francisco,BR,-15.95,-44.86,84.79,50,7,7.72,clear sky
336,Longyearbyen,SJ,78.22,15.64,24.8,73,90,29.97,light snow
337,Male,MV,4.17,73.51,78.8,88,20,4.74,few clouds
338,Khandyga,RU,62.67,135.6,-26.9,84,0,1.21,clear sky
339,Makurdi,NG,7.74,8.51,88.61,26,15,3.15,few clouds
